STUDY_ID,LATITUDE,LONGITUDE,species_richness,total_abundance,mean_depth,n_samples,n_years,year_start,year_end,realm,biome,climate,AREA_SQ_KM,abs_latitude,dist_from_equator_km,hemisphere,tropical,temperate,polar,temp_proxy,temp_range_proxy,precip_proxy,log_area,sampling_intensity,depth_category,coastal_proxy,temp_squared,temp_x_precip,latitude_squared,productivity_proxy
164,37.8102,-122.323,13,126.0,1.0,3,2,2000,2001,Marine,Temperate shelf and seas ecoregions,Temperate,18.0,37.8102,4209.031464,N,0,1,0,11.094899999999999,11.34306,1463.3187079754432,2.9444389791664403,1.5,shallow,1,123.09680600999998,16235.374733116743,1429.61122404,16.235374733116743
245,50.85045,3.61936,9,50.0,-6.267057142857142,6,2,2009,2010,Marine,Temperate shelf and seas ecoregions,Temperate,18.0,50.85045,5660.672094,N,0,1,0,4.574774999999999,15.255135,1133.2448393759505,2.9444389791664403,3.0,shallow,1,20.92856630062499,5184.340160056113,2585.7682652025,5.184340160056113
245,50.88528,3.69284,6,49.0,-6.267057142857142,3,2,2009,2010,Marine,Temperate shelf and seas ecoregions,Temperate,18.0,50.88528,5664.549369599999,N,0,1,0,4.557359999999999,15.265584,1311.7659195806457,2.9444389791664403,1.5,shallow,1,20.769530169599992,5978.18953126005,2589.3117206784,5.97818953126005
245,50.91131,3.4133,15,1106.0,-6.267057142857142,15,2,2007,2008,Marine,Temperate shelf and seas ecoregions,Temperate,18.0,50.91131,5667.4470292,N,0,1,0,4.544345,15.273392999999999,1330.3868216391213,2.9444389791664403,7.5,shallow,1,20.651071479025,6045.736700981633,2591.9614859161,6.0457367009816325
245,50.91145,3.41317,15,420.0,-6.267057142857142,15,2,2007,2008,Marine,Temperate shelf and seas ecoregions,Temperate,18.0,50.91145,5667.462614,N,0,1,0,4.544274999999999,15.273435,1041.2247311346164,2.9444389791664403,7.5,shallow,1,20.65043527562499,4731.611515076757,2591.9757411025003,4.731611515076757
245,50.91705,3.66667,18,500.0,-6.267057142857142,15,3,2007,2009,Marine,Temperate shelf and seas ecoregions,Temperate,18.0,50.91705,5668.086006,N,0,1,0,4.541474999999998,15.275115,1106.026299313768,2.9444389791664403,5.0,shallow,1,20.624995175624985,5022.990787675993,2592.5459807025004,5.022990787675993
245,50.91716,3.66677,19,567.0,-6.267057142857142,20,4,2007,2010,Marine,Temperate shelf and seas ecoregions,Temperate,18.0,50.91716,5668.0982512,N,0,1,0,4.541419999999999,15.275148,1249.0266403167286,2.9444389791664403,5.0,shallow,1,20.624495616399987,5672.354564867196,2592.5571824656004,5.672354564867196
245,50.94662,4.70235,19,971.0,-6.267057142857142,15,2,2007,2008,Marine,Temperate shelf and seas ecoregions,Temperate,18.0,50.94662,5671.3777383999995,N,0,1,0,4.5266899999999985,15.283986,1204.1764407656417,2.9444389791664403,7.5,shallow,1,20.490922356099986,5450.933452649421,2595.5580894244004,5.450933452649421
245,50.94736,4.70283,22,2550.0,-6.267057142857142,14,2,2007,2008,Marine,Temperate shelf and seas ecoregions,Temperate,18.0,50.94736,5671.4601152000005,N,0,1,0,4.526319999999998,15.284208,1234.109484249571,2.9444389791664403,7.0,shallow,1,20.487572742399983,5585.974440748517,2595.6334909696,5.585974440748517
245,50.98612,4.82752,18,379.0,-6.267057142857142,11,2,2007,2008,Marine,Temperate shelf and seas ecoregions,Temperate,18.0,50.98612,5675.7748784,N,0,1,0,4.50694,15.295836,1149.903807242642,2.9444389791664403,5.5,shallow,1,20.3125081636,5182.547465014153,2599.5844326544,5.182547465014153
245,50.9862,4.82769,16,229.0,-6.267057142857142,11,1,2007,2007,Marine,Temperate shelf and seas ecoregions,Temperate,18.0,50.9862,5675.783783999999,N,0,1,0,4.506900000000002,15.295859999999998,1323.146797486283,2.9444389791664403,11.0,shallow,1,20.312147610000014,5963.290301590931,2599.5925904399996,5.9632903015909315
245,51.00086,4.0781,11,344.0,-6.267057142857142,14,2,2007,2008,Marine,Temperate shelf and seas ecoregions,Temperate,18.0,51.00086,5677.4157352,N,0,1,0,4.4995699999999985,15.300258,1312.7662935428946,2.9444389791664403,7.0,shallow,1,20.246130184899986,5906.8838314368,2601.0877207396,5.9068838314368
